,Name,Creator,Rights,Title,Description,Credit,Date,Contact,Subject,Model,Lens
0,APAAME_20081029_WKSHP-0095.JPG,,Creative Commons Attribution-Noncommercial-No Derivative Works,"Jarash T of Zeus, Jarash South Theatre, Jarash Oval Piazza, Rest House, Jarash Macellum, Jarash Museum/ Camp Hill","""Jarash T of Zeus"" lat=32.2767666481, lon=35.8903002966; ""Jarash South Theatre"" lat=32.2763106821, lon=35.889739235; ""Jarash Oval Piazza"" lat=32.2772895068, lon=35.8907612475; ""Rest House"" lat=32.2760280692, lon=35.890907383; ""Jarash Macellum"" lat=32.27875, lon=35.8909972222; ""Jarash Museum/ Camp Hill"" lat=32.2779027778, lon=35.8916222222",,,"Name:
   * b'Workshop Participant'
",,NIKON D70s,[55]
1,APAAME_20211026_RHB-0705.DNG,AAJ,All Rights Reserved,Oblique view to Wisad Kite 16,"to:31.9441084442, 37.9637896272 (Wisad Kite 16)",APAAME,2021-10-26T12:12:05+03:00,"Name:
   * b'Robert Bewley'
","Name:
   * b'Jordan'
   * b'aerial archaeology'
   * b'aerial photography'
   * b'air photography'
   * b'ancient history'
   * b'archaeological sites'
   * b'archaeology'
   * b'middle east'
",NIKON D5,[48]
