Grid ID,Grid Square Geometric Place Expression
E60N34-43,"MULTIPOLYGON (((60.5 34.75,60.5 35.0,60.75 35.0,60.75 34.75,60.5 34.75)))"
E60N34-44,"MULTIPOLYGON (((60.75 34.75,60.75 35.0,61 35,61.0 34.75,60.75 34.75)))"
E60N35-21,"MULTIPOLYGON (((60.5 35.0,60.5 35.25,60.75 35.25,60.75 35.0,60.5 35.0)))"
E60N35-22,"MULTIPOLYGON (((60.75 35.0,60.75 35.25,61.0 35.25,61 35,60.75 35.0)))"
E60N35-23,"MULTIPOLYGON (((60.5 35.25,60.5 35.5,60.75 35.5,60.75 35.25,60.5 35.25)))"
E60N35-24,"MULTIPOLYGON (((60.75 35.25,60.75 35.5,61.0 35.5,61.0 35.25,60.75 35.25)))"
E60N35-41,"MULTIPOLYGON (((60.5 35.5,60.5 35.75,60.75 35.75,60.75 35.5,60.5 35.5)))"
E60N35-42,"MULTIPOLYGON (((60.75 35.5,60.75 35.75,61.0 35.75,61.0 35.5,60.75 35.5)))"
E60N35-43,"MULTIPOLYGON (((60.5 35.75,60.5 36.0,60.75 36.0,60.75 35.75,60.5 35.75)))"
E60N35-44,"MULTIPOLYGON (((60.75 35.75,60.75 36.0,61 36,61.0 35.75,60.75 35.75)))"
E60N36-21,"MULTIPOLYGON (((60.5 36.0,60.5 36.25,60.75 36.25,60.75 36.0,60.5 36.0)))"
E60N36-22,"MULTIPOLYGON (((60.75 36.0,60.75 36.25,61.0 36.25,61 36,60.75 36.0)))"
E60N36-23,"MULTIPOLYGON (((60.5 36.25,60.5 36.5,60.75 36.5,60.75 36.25,60.5 36.25)))"
E60N36-24,"MULTIPOLYGON (((60.75 36.25,60.75 36.5,61.0 36.5,61.0 36.25,60.75 36.25)))"
E60N36-41,"MULTIPOLYGON (((60.5 36.5,60.5 36.75,60.75 36.75,60.75 36.5,60.5 36.5)))"
E60N36-42,"MULTIPOLYGON (((60.75 36.5,60.75 36.75,61.0 36.75,61.0 36.5,60.75 36.5)))"
E60N36-43,"MULTIPOLYGON (((60.5 36.75,60.5 37.0,60.75 37.0,60.75 36.75,60.5 36.75)))"
E60N36-44,"MULTIPOLYGON (((60.75 36.75,60.75 37.0,61 37,61.0 36.75,60.75 36.75)))"
E60N37-21,"MULTIPOLYGON (((60.5 37.0,60.5 37.25,60.75 37.25,60.75 37.0,60.5 37.0)))"
E60N37-22,"MULTIPOLYGON (((60.75 37.0,60.75 37.25,61.0 37.25,61 37,60.75 37.0)))"
