"Resource ID(s)","Resource type","Status","Contributed by","Document extract","Title","Caption","Keywords - Subject","Keywords - Emotion","Keywords - Event","Keywords - Other","Named person(s)","Country","Date","Original filename","Extracted text","Credit","Notes","Keywords - Recognised","Keywords - Landmark","Accessibility - Alt Text","Accessibility - Extended Description","Camera make / model","Source"
3539,"Document","Active","Thomas Huet","","Umm er-Resas","lat=31.4985329153, lon=35.9206346063","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0342.tif","","UMM ER-RESAS","","","","","","",""
3538,"Document","Active","Thomas Huet","","Umm er-Resas","lat=31.4985329153, lon=35.9206346063","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0343.tif","","UMM ER-RESAS","","","","","","",""
3537,"Document","Active","Thomas Huet","","Umm er-Resas","lat=31.4985329153, lon=35.9206346063","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0341.tif","","UMM ER-RESAS","","","","","","",""
3536,"Document","Active","Thomas Huet","","Umm er-Resas","lat=31.4985329153, lon=35.9206346063","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0340.tif","","UMM ER-RESAS","","","","","","",""
3535,"Document","Active","Thomas Huet","","Umm er-Resas","lat=31.4985329153, lon=35.9206346063","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0339.tif","","UMM ER-RESAS","","","","","","",""
3534,"Document","Active","Thomas Huet","","Umm er-Resas","lat=31.4985329153, lon=35.9206346063","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0338.tif","","UMM ER-RESAS","","","","","","",""
3533,"Document","Active","Thomas Huet","","Umm er-Resas","lat=31.4985329153, lon=35.9206346063","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0337.tif","","UMM ER-RESAS","","","","","","",""
3532,"Document","Active","Thomas Huet","","Kh. al-Mudayna","lat=31.5892771561, lon=35.9083167336","","","","Scanned from negative,JADIS:2311014,Kh. al-Mudayna,Kh.el Mudayneh,MEGA-J:2694,Medeineh,خربة المدينة -وادي الثمد,Black and White","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0336.tif","","KH. AL-MUDAYNA","","","","","","",""
3531,"Document","Active","Thomas Huet","","Kh. al-Mudayna","lat=31.5892771561, lon=35.9083167336","","","","Scanned from negative,JADIS:2311014,Kh. al-Mudayna,Kh.el Mudayneh,MEGA-J:2694,Medeineh,خربة المدينة -وادي الثمد,Black and White","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0335.tif","","KH. AL-MUDAYNA","","","","","","",""
3530,"Document","Active","Thomas Huet","","Kh. al-Mudayna","lat=31.5892771561, lon=35.9083167336","","","","Scanned from negative,JADIS:2311014,Kh. al-Mudayna,Kh.el Mudayneh,MEGA-J:2694,Medeineh,خربة المدينة -وادي الثمد,Black and White","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0334.tif","","KH. AL-MUDAYNA","","","","","","",""
3529,"Document","Active","Thomas Huet","","Kh. al-Mudayna","lat=31.5892771561, lon=35.9083167336","","","","Scanned from negative,JADIS:2311014,Kh. al-Mudayna,Kh.el Mudayneh,MEGA-J:2694,Medeineh,خربة المدينة -وادي الثمد,Black and White","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0333.tif","","KH. AL-MUDAYNA","","","","","","",""
3528,"Document","Active","Thomas Huet","","Rumeil","lat=31.5752026167, lon=35.8742769518","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0332.tif","","RUMEIL","","","","","","",""
3527,"Document","Active","Thomas Huet","","Rumeil","lat=31.5752026167, lon=35.8742769518","","","","","","","1998-05-20 00:00:00","APAAME_19980520_DLK-0331.tif","","RUMEIL","","","","","","",""
