"ResourceID","Geometric Place Expression","Location Certainty","Geometry Extent Certainty","Geometry Type"
"ea8e9306-63ca-4cca-97dd-8cba8b64ca54","MULTIPOLYGON (((54.09107 33.44704, 54.0914 33.44687, 54.09156 33.44712, 54.09124 33.44726, 54.09107 33.44704)))","Medium","Medium","Perimeter Polygon"
"8b413dbc-b9d5-435a-bdbe-1e968d7e956b","MULTIPOLYGON (((53.14367 32.8675, 53.14422 32.86725, 53.14454 32.86767, 53.14403 32.86789, 53.14367 32.8675)))","Medium","Medium","Perimeter Polygon"
"a1608be8-2b48-4798-a765-866bbb252c55","MULTIPOLYGON (((54.43367 33.52198, 54.43354 33.52159, 54.4339 33.5215, 54.43404 33.5219, 54.43367 33.52198)))","Medium","Medium","Perimeter Polygon"
"404fb6cf-a542-4031-a54f-7449684dc98d","MULTIPOLYGON (((55.24151 32.52774, 55.24197 32.52751, 55.2423 32.52794, 55.24183 32.5282, 55.24151 32.52774)))","Medium","Medium","Perimeter Polygon"
"bcd197e3-9d92-486b-aad6-633e3adfeb32","MULTIPOLYGON (((55.02623 31.0681, 55.02645 31.06778, 55.02675 31.06796, 55.0265 31.06826, 55.02623 31.0681)))","Medium","Medium","Perimeter Polygon"
"3705db2d-8fae-46d6-bb42-2d5bcd17e443","MULTIPOLYGON (((53.63053 32.44068, 53.63107 32.44033, 53.63142 32.44076, 53.63094 32.44109, 53.63053 32.44068)))","Medium","Medium","Perimeter Polygon"
"276b0ccd-88f6-4a89-93cf-0045fcdaba33","MULTIPOLYGON (((54.3619 31.89718, 54.3617 31.89728, 54.36152 31.89707, 54.36171 31.89696, 54.3619 31.89718)))","Medium","Medium","Perimeter Polygon"
"75b9d2f1-a51d-4685-abdc-fb00ebcad070","MULTIPOLYGON (((56.3612 30.29296, 56.36154 30.29278, 56.36178 30.29307, 56.36144 30.29326, 56.3612 30.29296)))","Medium","Medium","Perimeter Polygon"
"2a17025b-3f13-4a74-872d-48c39e737598","MULTIPOLYGON (((53.70042 33.31205, 53.70008 33.31193, 53.70022 33.31156, 53.70059 33.31167, 53.70042 33.31205)))","Medium","Medium","Perimeter Polygon"
"5cf7263c-0057-4a29-a415-24344cde2947","MULTIPOLYGON (((56.81476 30.18756, 56.81499 30.18735, 56.81532 30.18761, 56.81506 30.18785, 56.81476 30.18756)))","Medium","Medium","Perimeter Polygon"
"ce92927d-32ea-4125-aec5-8a428bbbe2aa","MULTIPOLYGON (((56.9934 30.89608, 56.99361 30.89585, 56.99392 30.89605, 56.99371 30.89626, 56.9934 30.89608)))","Medium","Medium","Perimeter Polygon"
"647acece-6e81-456f-aa1f-3d719f812beb","MULTIPOLYGON (((55.98661 30.40834, 55.98685 30.40796, 55.98723 30.4081, 55.98697 30.40851, 55.98661 30.40834)))","Medium","Medium","Perimeter Polygon"
"c1bd2851-1e20-4d0d-af1c-c731fff7b941","MULTIPOLYGON (((57.15455 30.67664, 57.15486 30.67644, 57.15501 30.6766, 57.15469 30.6768, 57.15455 30.67664)))","Medium","Medium","Perimeter Polygon"
"febc0c16-9b50-46e3-b62f-56b40cef7a85","MULTIPOLYGON (((54.52829 36.64484, 54.52846 36.64476, 54.52855 36.64491, 54.52838 36.64499, 54.52829 36.64484)))","Medium","Medium","Perimeter Polygon"
