"ea.uuid"	"ea.name"	"ea.duration.taq"	"ea.duration.tpq"
"10a52aee-295c-4f8a-9b6a-e8df07ac203c"	"Bronze Age, Early Dynastic III (Southern Mesopotamia)"	"-2600"	"-2350"
"1a00dd34-c582-4c2d-bc33-4482d0be0336"	"Late Bronze Age 1 (Levant)"	"-1600"	"-1400"
"cb1f7c9e-4dc5-4851-a862-1556e5c2aa44"	"Late Bronze Age 2 (Levant)"	"-1400"	"-1200"
"20c5f4b1-e808-450c-a5bb-fe414de49ca8"	"Middle Iron Age (Arabia)"	"-1000"	"-600"
"2dd3e68d-54a4-479c-8c6d-a9df806c1916"	"Late Iron Age (Arabia)"	"-600"	"-100"
"2b0508a2-7596-4455-b73a-07c4b455fa66"	"Early Iron Age (Arabia)"	"-1500"	"-1000"
"6142a6e7-a3f0-44e7-8e48-2d2f9a4b70b9"	"Proto South Arabian (Southern Arabia)"	"-1200"	"-800"
"8c3eb073-7914-407a-975d-6ecfb315624c"	"Chalcolithic, Early (Levant)"	"-5200"	"-4500"
"b4faa8f0-6106-4999-b46d-aa5b14613748"	"Chalcolithic, Late (Levant)"	"-4500"	"-3600"
"799082ef-06d5-488e-a9b5-6305da17fe5c"	"Early Bronze Age 4 (Southern Levant)"	"-2500"	"-2000"
"1a6f3465-ec63-431c-82f7-a39e0f5e2a0a"	"Early Bronze Age 1 (Southern Levant)"	"-3600"	"-3000"
"5094c591-8f0b-490f-80b1-34712c37ca05"	"Early Bronze Age 3 (Southern Levant)"	"-2800"	"-2500"
"7b65e7b5-38c6-46fb-bee7-272bda43112d"	"Early Bronze Age 2 (Southern Levant)"	"-3000"	"-2800"
"d3b04833-7b3e-4f17-9135-1e647697a463"	"Chalcolithic, Susa I (Khuzestan, Iran)"	"-3900"	"-3700"
"27882ec3-3559-4355-8d39-e51190f356f1"	"Chalcolithic, Late Susiana (Khuzestan, Iran)"	"-4700"	"-3900"
