"ea.uuid"	"ea.name"	"ea.duration.taq"	"ea.duration.tpq"
"a98a1095-9043-4d39-84f2-ae140a0778be"	"Early Bronze Age, Early (Northern Mesopotamia)"	"-3100"	"-2600"
"3fe9910e-3f2e-4482-a6f4-08b8582b2309"	"Early Bronze Age, Late (Northern Mesopotamia)"	"-2600"	"-2000"
"763b524a-1fad-4248-98be-dbefa86cf68b"	"Middle Bronze Age (Northeast Iran)"	"-2200"	"-1800"
"a132beb6-2145-4b41-a327-05ea21d0cd0a"	"Early Bronze Age (Northeast Iran)"	"-3100"	"-2200"
"97642f1b-2136-4282-a9c7-5e5cdfcf1185"	"Late Bronze Age (Northeast Iran)"	"-1800"	"-1500"
"4a209a73-8e5f-4fa1-a21f-e4f7bc9f5baf"	"Early Bronze Age, 4 (Northern Levant)"	"-2500"	"-2000"
"beb2e653-f6f0-4557-9787-51c2f9cf78ef"	"Early Bronze Age, 1-3 (Northern Levant)"	"-3400"	"-2500"
"7154c1f6-fc64-475c-a679-b7044e82ae11"	"Islamic, Late (Ottoman) (Iraq)"	"1500"	"1900"
"21927140-2a97-44d8-bc65-b9294fc16957"	"Islamic, Early (Early Caliphate/Umayyad) (Iraq)"	"640"	"750"
"95f3ac82-e389-4bbe-9f89-7284b2888d63"	"Islamic, Middle (Abbasid) (Iraq)"	"750"	"1250"
"e2257468-dac2-405c-b0f3-b6c1d1cfa5b8"	"Islamic, Late (Post-Abbasid) (Iraq)"	"1250"	"1500"
"44be3483-baaa-489f-9a9f-1c52a39c30c2"	"Palaeolithic, Middle (Levant/Arabia/Mesopotamia)"	"-250000"	"-45000"
"8d397953-83c4-478a-8387-04d89fe68408"	"Palaeolithic, Lower (Levant/Arabia/Mesopotamia)"	"-14000000"	"-250000"
"01292037-a5e1-4789-9212-7171e3138b89"	"Palaeolithic, Upper (Levant/Arabia/Mesopotamia)"	"-45000"	"-18000"
"e8245c68-80d1-4972-ac2b-296448b30004"	"Chalcolithic, Middle (Arabia)"	"-5000"	"-4000"
"844734a0-b67a-4302-b714-4470f0592e6a"	"Chalcolithic, Early (Arabia)"	"-6000"	"-5000"
"6c501514-15b5-4c7d-9197-b55ee47e8ab6"	"Chalcolithic, Late (Arabia)"	"-4000"	"-3200"
"a31eb230-bfcf-477e-8ef8-15625fdba909"	"Neolithic, Early (Egypt)"	"-7000"	"-5300"
"79da95a0-63a4-4449-90c0-ba4f2d097f80"	"Neolithic, Late (Egypt)"	"-5300"	"-4400"
"69835729-e882-4564-a6bb-0ca25b4ef606"	"Second Intermediate/New Kingdom (Egypt)"	"-1650"	"-1550"
"3c244537-ede7-4e8c-b912-7475c7db403b"	"Middle Kingdom (Egypt)"	"-2050"	"-1650"
"ff798b32-107c-446b-8078-ea909b79a815"	"Late Dynastic (Egypt)"	"-650"	"-350"
"adac94ba-46c9-44db-9010-fa3fa5a85731"	"First Intermediate (Egypt)"	"-2150"	"-2050"
"aabd0e9f-4c26-427d-8afd-bd3ef3be28d5"	"New Kingdom (Egypt)"	"-1550"	"-1050"
"19062f2f-f15e-4d2c-bc28-e7dfc05a7eb4"	"Old Kingdom (Egypt)"	"-2700"	"2150"
"2e7a37ae-40a8-4517-805f-b38be315a57c"	"Early Dynastic (Egypt)"	"-3000"	"-2700"
"c038ed34-6a7a-4d31-8ad1-97afec2369cb"	"Third Intermediate (Egypt)"	"-1050"	"-650"
"f2b809bd-40e0-4dd3-b8b4-1eb763a35e2c"	"Chalcolithic, Early (Northern Iran)"	"-4300"	"-4000"
"813e169d-c5ad-46f0-bdb7-176f4d8a8cd8"	"Chalcolithic, Transitional (Northern Iran)"	"-5200"	"-4300"
"0dcddf9a-d179-42b8-b76d-e947111af447"	"Chalcolithic, Late (Northern Iran)"	"-3700"	"-3300"
"a28e8adf-7d14-48e8-89d1-9feeb362f3d1"	"Chalcolithic, Middle (Northern Iran)"	"-4000"	"-3700"
"eddea047-7ec8-41ee-bb4a-454a76c11888"	"character(0)"	""	""
