Detailed Condition Assessment	تقييم مفصل للحالة	**This sheet has only those fields which are not already listed in the Condition Assessment Tab	Unnamed: 3	Alternative suggested translation	MK comments	Old Term replaced by AB or MK
Every 6 Months	كل ستة شهور	Self-explanatory				
Every year	كل سنة	Self-explanatory				
Every other year	كل سنتين	Self-explanatory				
Every 3-5 years	من ثلاثة إلى خمسة سنوات	Self-explanatory		من ثلاث إلى خمس سنوات		
Discontinue monitoring	توقف المراقبة	Self-explanatory				
After each rainy /storm season	بعد كل موسم أمطار/ موسم رياح	Self-explanatory				
