"site";"decor";"id";"type";"technlg";"incmplt";"geometry"
"EAMENA-0207263";"crvn";1;"caravanserail";"-";0;"POLYGON ((53.14367 32.8675, 53.14422 32.86725, 53.14454 32.86767, 53.14403 32.86789, 53.14367 32.8675))"
"EAMENA-0207260";"crvn";1;"caravanserail";"-";0;"POLYGON ((54.43367 33.52198, 54.43354 33.52159, 54.4339 33.5215, 54.43404 33.5219, 54.43367 33.52198))"
"EAMENA-0207222";"crvn";1;"caravanserail";"-";0;"POLYGON ((55.24151 32.52774, 55.24197 32.52751, 55.2423 32.52794, 55.24183 32.5282, 55.24151 32.52774))"
"EAMENA-0207232";"crvn";1;"caravanserail";"-";0;"POLYGON ((55.02623 31.0681, 55.02645 31.06778, 55.02675 31.06796, 55.0265 31.06826, 55.02623 31.0681))"
"EAMENA-0182055";"crvn";1;"caravanserail";"-";0;"POLYGON ((53.63053 32.44068, 53.63107 32.44033, 53.63142 32.44076, 53.63094 32.44109, 53.63053 32.44068))"
"EAMENA-0207233";"crvn";1;"caravanserail";"-";0;"POLYGON ((54.3619 31.89718, 54.3617 31.89728, 54.36152 31.89707, 54.36171 31.89696, 54.3619 31.89718))"
"EAMENA-0207236";"crvn";1;"caravanserail";"-";0;"POLYGON ((56.3612 30.29296, 56.36154 30.29278, 56.36178 30.29307, 56.36144 30.29326, 56.3612 30.29296))"
"EAMENA-0207239";"crvn";1;"caravanserail";"-";0;"POLYGON ((53.70042 33.31205, 53.70008 33.31193, 53.70022 33.31156, 53.70059 33.31167, 53.70042 33.31205))"
"EAMENA-0207240";"crvn";1;"caravanserail";"-";0;"POLYGON ((56.81476 30.18756, 56.81499 30.18735, 56.81532 30.18761, 56.81506 30.18785, 56.81476 30.18756))"
"EAMENA-0207234";"crvn";1;"caravanserail";"-";0;"POLYGON ((56.9934 30.89608, 56.99361 30.89585, 56.99392 30.89605, 56.99371 30.89626, 56.9934 30.89608))"
