db.concept.name	db.concept.uuid
Geology	34cfea1c-c2c0-11ea-9026-02e7594ce0a0
Geometric Place Expression	5348cf67-c2c5-11ea-9026-02e7594ce0a0
Geometry	3080eebe-c2c5-11ea-9026-02e7594ce0a0
Geometry Extent Certainty	5348cf6c-c2c5-11ea-9026-02e7594ce0a0
Geometry Location Observation	5348cf6a-c2c5-11ea-9026-02e7594ce0a0
Geometry Qualifier	ce842cdc-c2c7-11ea-9026-02e7594ce0a0
Google Earth Assessment	bcd3a8ae-0404-11eb-a11c-0a5a9a4f6ef7
Grid ID	34cfea5d-c2c0-11ea-9026-02e7594ce0a0
Heritage Place	34cfea3b-c2c0-11ea-9026-02e7594ce0a0
Heritage Place Assignment 	34cfe9ad-c2c0-11ea-9026-02e7594ce0a0
Heritage Place Function	34cfea4a-c2c0-11ea-9026-02e7594ce0a0
Heritage Place Function Belief	34cfea45-c2c0-11ea-9026-02e7594ce0a0
Heritage Place Function Certainty 	34cfea7d-c2c0-11ea-9026-02e7594ce0a0
Heritage Place Resource Instance	34cfe9e3-c2c0-11ea-9026-02e7594ce0a0
Heritage Place Type	34cfe9ef-c2c0-11ea-9026-02e7594ce0a0
Imagery Acquisition Date	34cfea74-c2c0-11ea-9026-02e7594ce0a0
Information Resource	34cfea34-c2c0-11ea-9026-02e7594ce0a0
Information Resource Acquisition Date	a5eb59b4-0406-11eb-a11c-0a5a9a4f6ef7
Intervention Activity Type	34cfea0a-c2c0-11ea-9026-02e7594ce0a0
Investigator Role Type	d2e1ab96-cc05-11ea-a292-02e7594ce0a0
Land Cover	34cfea25-c2c0-11ea-9026-02e7594ce0a0
Land Cover Assessment	34cfea3a-c2c0-11ea-9026-02e7594ce0a0
Land Cover Assessment Date	34cfea61-c2c0-11ea-9026-02e7594ce0a0
Land Cover Type	34cfea93-c2c0-11ea-9026-02e7594ce0a0
Location Certainty	5348cf6b-c2c5-11ea-9026-02e7594ce0a0
Marine Environment	34cfe998-c2c0-11ea-9026-02e7594ce0a0
Material	34cfe9c5-c2c0-11ea-9026-02e7594ce0a0
Material Class	34cfea3c-c2c0-11ea-9026-02e7594ce0a0
Material Type	34cfea4e-c2c0-11ea-9026-02e7594ce0a0
Maximum Depth/Min Elevation	34cfea42-c2c0-11ea-9026-02e7594ce0a0
Measurement	34cfea71-c2c0-11ea-9026-02e7594ce0a0
Measurement Number	34cfea47-c2c0-11ea-9026-02e7594ce0a0
Measurement Source Type 	34cfea7c-c2c0-11ea-9026-02e7594ce0a0
Measurement Unit	34cfea60-c2c0-11ea-9026-02e7594ce0a0
Measurements	34cfe9f2-c2c0-11ea-9026-02e7594ce0a0
Minimum Depth/Max Elevation	34cfea40-c2c0-11ea-9026-02e7594ce0a0
Modern Country Territory	34cfea98-c2c0-11ea-9026-02e7594ce0a0
Name Type	34cfea97-c2c0-11ea-9026-02e7594ce0a0
Overall Archaeological Certainty Value 	34cfea51-c2c0-11ea-9026-02e7594ce0a0
Overall Condition State Type	34cfe9f5-c2c0-11ea-9026-02e7594ce0a0
Overall Site Morphology Type	34cfe9e6-c2c0-11ea-9026-02e7594ce0a0
Overall Site Shape Type	34cfea69-c2c0-11ea-9026-02e7594ce0a0
Priority Assignment	34cfe9d7-c2c0-11ea-9026-02e7594ce0a0
Priority Type	34cfea84-c2c0-11ea-9026-02e7594ce0a0
Recommendation Plan	34cfe9d4-c2c0-11ea-9026-02e7594ce0a0
Recommendation Type	34cfea64-c2c0-11ea-9026-02e7594ce0a0
Related Geoarchaeology/Palaeolandscape	34cfe9ec-c2c0-11ea-9026-02e7594ce0a0
Resource Name	34cfe9dd-c2c0-11ea-9026-02e7594ce0a0
Resource Orientation	34cfea73-c2c0-11ea-9026-02e7594ce0a0
Resource Summary	34cfe98f-c2c0-11ea-9026-02e7594ce0a0
Restricted Access Record Designation	7deb8fcc-c6a5-11ea-a292-02e7594ce0a0
SH Date to	97a2c1fc-cb86-11ea-a292-02e7594ce0a0
Site Feature Arrangement Type	34cfe9e9-c2c0-11ea-9026-02e7594ce0a0
Site Feature Assignment	34cfea13-c2c0-11ea-9026-02e7594ce0a0
Site Feature Form Type	34cfea9a-c2c0-11ea-9026-02e7594ce0a0
Site Feature Form Type Belief	34cfe9b0-c2c0-11ea-9026-02e7594ce0a0
Site Feature Form Type Certainty	34cfea59-c2c0-11ea-9026-02e7594ce0a0
Site Feature Interpretation Belief	34cfe9fe-c2c0-11ea-9026-02e7594ce0a0
Site Feature Interpretation Certainty	34cfea44-c2c0-11ea-9026-02e7594ce0a0
Site Feature Interpretation Number Type	34cfea62-c2c0-11ea-9026-02e7594ce0a0
Site Feature Interpretation Type	34cfea58-c2c0-11ea-9026-02e7594ce0a0
Site Feature Number Type	34cfe9f8-c2c0-11ea-9026-02e7594ce0a0
Site Feature Shape Type	34cfea19-c2c0-11ea-9026-02e7594ce0a0
Spatial Coordinates Ref System	5348cf6d-c2c5-11ea-9026-02e7594ce0a0
Surficial Geology	34cfea22-c2c0-11ea-9026-02e7594ce0a0
Surficial Geology Type	34cfea9e-c2c0-11ea-9026-02e7594ce0a0
Threat Belief	34cfea66-c2c0-11ea-9026-02e7594ce0a0
Threat Category	34cfea76-c2c0-11ea-9026-02e7594ce0a0
Threat Cause Type	34cfea7b-c2c0-11ea-9026-02e7594ce0a0
Threat Inference Making	34cfe9fb-c2c0-11ea-9026-02e7594ce0a0
Threat Inference Making Assessor	34cfea54-c2c0-11ea-9026-02e7594ce0a0
Threat Inference Making Assessor Name - Actor	34cfea75-c2c0-11ea-9026-02e7594ce0a0
Threat Probability 	34cfea63-c2c0-11ea-9026-02e7594ce0a0
Tidal Range	34cfea9c-c2c0-11ea-9026-02e7594ce0a0
Topography	34cfea28-c2c0-11ea-9026-02e7594ce0a0
Topography Type	34cfea39-c2c0-11ea-9026-02e7594ce0a0
Wave Climate	34cfea38-c2c0-11ea-9026-02e7594ce0a0
