id1,id2,type
44c6dc03-caa0-453a-b8f8-b8d00769b19e,39bc8e8d-1f13-44d9-bc20-0f718dd23fc3,0fe0e6e7-812f-4c00-b018-2fd9810e7545
18c0ee55-21d5-4558-8fd6-0f2aff2a413a,a3084cf8-dd12-47dc-b4c9-361fd57f56a7,7cd42d89-154b-4764-abf6-77772cc52a03
c984df49-6c06-43db-bda4-97a5b764a531,38180857-be18-4162-9507-622a0ebc39b6,95571074-7a38-4f39-befd-101870843b62
5ead6824-aa93-47b3-b8c8-3036428ca20a,69affe30-79bd-433d-a747-35c8c56e9505,0fe0e6e7-812f-4c00-b018-2fd9810e7545
15db1da8-0f48-49cd-9430-c9269b628b9b,59263537-bd69-4d9c-9be7-9440e7a2e05b,79243e5d-c92b-4c7a-abd6-9a4ff6439e5b
41e5ded0-92b8-4999-85ec-d7bf9d830377,810cf334-439e-461a-9b57-32d23ed300ea,2f87347b-9466-42c1-9a11-e88fced07f92
bf697770-2b66-470c-8928-490458f8cf7e,9e21c646-51ec-4bea-9fa0-1e95a3adf7be,95571074-7a38-4f39-befd-101870843b62
41e5ded0-92b8-4999-85ec-d7bf9d830377,41bcef74-30c8-49b9-b553-a59b1fd23ebc,0fe0e6e7-812f-4c00-b018-2fd9810e7545
51e15c04-65d8-47ab-ac12-5bdad0cfe7bd,43544442-c191-41e0-8831-066e710a35b6,9f3f6585-d7c1-4974-87ed-dacbe5a8a6f0
a20981ea-75c5-4553-a3eb-b1deb84dc173,0399de79-d444-47bc-98ea-4598227ed972,2f87347b-9466-42c1-9a11-e88fced07f92
bf697770-2b66-470c-8928-490458f8cf7e,85042e06-3020-4d03-8f3b-cb017bef0042,95571074-7a38-4f39-befd-101870843b62
bf697770-2b66-470c-8928-490458f8cf7e,ec9d65a3-9c5b-4183-acd2-5301378efc41,95571074-7a38-4f39-befd-101870843b62
97b0d0ce-52d7-4d60-8c07-390ca8663e42,dfec8e88-8cc5-434c-947f-978688fc150d,d9a89b1b-0ada-472c-8cc1-94da42971a28
e159cd9c-7e38-472d-86bd-cbd2525d1a21,c710882a-27c0-463e-a7e2-7bcceb2c8105,0fe0e6e7-812f-4c00-b018-2fd9810e7545
a20981ea-75c5-4553-a3eb-b1deb84dc173,7de1976a-23f5-4253-968e-18f20f5467b5,0fe0e6e7-812f-4c00-b018-2fd9810e7545
cdadb353-7764-40ee-85ae-f195e73cc3d9,8a3e8c37-ce2c-4cf7-97e0-5e169877116d,0fe0e6e7-812f-4c00-b018-2fd9810e7545
e159cd9c-7e38-472d-86bd-cbd2525d1a21,4ac34463-befb-4f23-aa9b-060e60748f81,0fe0e6e7-812f-4c00-b018-2fd9810e7545
bf697770-2b66-470c-8928-490458f8cf7e,e5f39359-3578-49f7-b6d9-fbc4bfc4434e,95571074-7a38-4f39-befd-101870843b62
bf19a730-9372-48cb-ab1b-d3de75137f90,fa649434-93d3-4d77-9594-71320eeaacbf,75a5c8fc-7007-4298-89ef-6cdb392caa95
bf697770-2b66-470c-8928-490458f8cf7e,e9e8719e-3253-4b43-907a-f1bd48611ccc,95571074-7a38-4f39-befd-101870843b62
f080b9e8-47e5-4f20-bd01-b6e8a614712f,712c7234-d1c2-4ab3-a0d5-3b65eae7551b,0fe0e6e7-812f-4c00-b018-2fd9810e7545
f080b9e8-47e5-4f20-bd01-b6e8a614712f,2ee54ce9-dac9-45b5-bca8-ba4dd0f43b02,9f3f6585-d7c1-4974-87ed-dacbe5a8a6f0
b97676cb-7fc3-401f-8cdb-ca98a1d9016c,cf224231-8674-4022-8819-b101dc560973,195ccb78-cd73-49a3-b0fd-e4aa1c05e795
d14c5ab5-b22b-4c11-a3e3-58d93506db2a,348ce3a3-c0b6-4e69-b9ff-1c37120d4cfc,9f3f6585-d7c1-4974-87ed-dacbe5a8a6f0
fc0540cc-d675-448c-905d-de8165714cd9,5dc8145f-e1bd-4727-b82a-c1d6466d4579,95571074-7a38-4f39-befd-101870843b62
4c5e4bcc-43e1-4449-9068-4044f73baac2,a2ce3373-f6cc-44e1-867d-3a87bc827d97,0fe0e6e7-812f-4c00-b018-2fd9810e7545
d61a4d05-5391-4cd7-907e-46dd2041f400,befd77f3-0585-424e-8e80-a52766887815,95571074-7a38-4f39-befd-101870843b62
897bbf43-3845-4f2f-a495-92cbe730bdf7,2b67d973-b5ab-4d5f-9c6b-648daacf9f08,95571074-7a38-4f39-befd-101870843b62
a8441d92-dc8a-4a42-8a8f-9f7a183327c8,8817e2c2-d0ed-4e43-9ade-6c6166651b97,0fe0e6e7-812f-4c00-b018-2fd9810e7545
264887d8-0f57-4965-b7dd-3fe27ec648d6,0ad34b78-3348-4f8d-b8a4-85a560c04970,95571074-7a38-4f39-befd-101870843b62
0190ffd9-3f09-4cca-b1d0-2d6bb7f461be,06698831-1658-4db2-90de-b5714808570f,7cd42d89-154b-4764-abf6-77772cc52a03
606a2d6e-d657-42c9-8a99-bd53cfb5f14a,f83ae674-623c-4d6c-8791-9e1738223e05,0fe0e6e7-812f-4c00-b018-2fd9810e7545
